Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,total,MutatedSamples,AlteredSamples
BLM,0,0,1,0,15,1,0,0,0,17,14,14
CHD9,1,0,0,0,16,0,0,0,0,17,14,14
HECTD4,0,1,0,0,14,2,0,0,0,17,14,14
KIAA0232,3,0,0,0,12,2,0,0,0,17,14,14
LRRC7,0,0,0,0,17,0,0,0,0,17,14,14
STAB2,1,0,0,0,12,2,0,2,0,17,14,14
TLR4,0,1,0,0,14,2,0,0,0,17,14,14
ADGRB3,0,0,0,0,14,2,0,0,0,16,14,14
BRWD3,0,0,0,0,15,1,0,0,0,16,14,14
CHD8,1,1,0,0,13,1,0,0,0,16,14,14
COL4A5,1,1,0,0,13,1,0,0,0,16,14,14
FASN,0,1,1,0,13,0,0,1,0,16,14,14
ITPR1,1,0,0,0,14,1,0,0,0,16,14,14
MYH7B,0,0,0,0,14,0,0,2,0,16,14,14
NBEA,1,1,1,0,12,1,0,0,0,16,14,14
NUP160,1,0,0,0,15,0,0,0,0,16,14,14
PLCL2,2,0,0,0,12,2,0,0,0,16,14,14
PRRC2C,0,0,0,0,14,2,0,0,0,16,14,14
WDFY3,2,1,0,0,12,0,0,1,0,16,14,14
ANKRD26,0,0,0,0,12,1,0,2,0,15,14,14
CCNB3,0,1,0,0,13,1,0,0,0,15,14,14
CEP162,0,0,0,0,15,0,0,0,0,15,14,14
COL11A1,0,0,0,0,12,0,0,3,0,15,14,14
DOCK7,0,0,0,0,11,3,0,1,0,15,14,14
FAM47A,0,0,0,0,14,1,0,0,0,15,14,14
HDLBP,0,0,0,0,15,0,0,0,0,15,14,14
HECTD1,0,0,0,0,14,1,0,0,0,15,14,14
KAT6B,2,0,0,0,13,0,0,0,0,15,14,14
LAMA3,1,0,0,0,10,2,0,2,0,15,14,14
LPA,0,1,0,0,10,1,0,3,0,15,14,14
MORC1,0,0,0,0,13,2,0,0,0,15,14,14
MYH4,1,0,1,0,13,0,0,0,0,15,14,14
MYH7,1,0,0,0,13,1,0,0,0,15,14,14
NUP210L,0,0,0,0,14,1,0,0,0,15,14,14
PTPRB,0,0,0,0,13,2,0,0,0,15,14,14
RBBP6,0,0,1,0,12,1,0,1,0,15,14,14
THADA,1,1,0,0,11,2,0,0,0,15,14,14
TMEM132D,1,1,0,0,11,2,0,0,0,15,14,14
YLPM1,1,2,0,0,9,3,0,0,0,15,14,14
ZEB2,1,0,2,0,12,0,0,0,0,15,14,14
ARID4B,2,0,0,0,10,2,0,0,0,14,14,14
ATP9A,0,1,0,0,11,2,0,0,0,14,14,14
CACNA1C,0,0,0,0,14,0,0,0,0,14,14,14
CFAP47,1,0,0,0,11,1,0,1,0,14,14,14
CUL7,1,0,1,0,9,1,0,2,0,14,14,14
FAM135B,0,0,0,0,11,2,0,1,0,14,14,14
FBN3,1,0,0,0,13,0,0,0,0,14,14,14
FBXW7,3,0,0,0,11,0,0,0,0,14,14,14
IGSF10,0,1,0,0,12,1,0,0,0,14,14,14
IRS4,1,1,0,0,12,0,0,0,0,14,14,14
ITPR3,0,0,0,0,13,1,0,0,0,14,14,14
LRRIQ1,0,0,0,0,12,2,0,0,0,14,14,14
LRRK1,0,0,0,0,13,1,0,0,0,14,14,14
LTBP1,0,0,0,0,13,1,0,0,0,14,14,14
MGAM,0,0,0,0,14,0,0,0,0,14,14,14
MYO5B,0,0,0,0,14,0,0,0,0,14,14,14
MYT1L,0,0,0,0,14,0,0,0,0,14,14,14
NFASC,0,1,1,0,12,0,0,0,0,14,14,14
NID1,0,0,0,0,12,1,0,1,0,14,14,14
PCDH11X,0,0,0,0,13,1,0,0,0,14,14,14
PLCE1,1,0,0,0,12,0,0,1,0,14,14,14
RIMBP2,0,0,0,0,12,0,0,2,0,14,14,14
RIMS1,0,1,0,0,13,0,0,0,0,14,14,14
SAGE1,0,0,0,0,13,1,0,0,0,14,14,14
SMARCA4,2,0,0,0,8,3,0,1,0,14,14,14
SYCP2,2,0,0,0,8,2,0,2,0,14,14,14
TRRAP,2,0,0,0,12,0,0,0,0,14,14,14
